Title,Author,Year,Source title,Cited by,Document Type,Language,Testo della Ricerca
"Inquiry vs. Inquiry-Creative: Emphasizing Critical Thinking Skills of Prospective STEM Teachers in the Context of STEM Learning in Indonesia","Prayogi S.; Bilad M.R.; Verawati N.N.S.P.; Asy’ari M.","2024","Education Sciences","0","Article","EN","In an evolving perspective, lecturers consider that inquiry is one of the best forms of learning to drill critical thinking. This study assesses the practice of inquiry to develop the critical thinking skills of prospective science, technology, engineering, and mathematics (STEM) teachers in Indonesia, which is a suitable way to address the problems in the country. Through the experimental design, three groups were formed, which were intervened with inquiry learning, inquiry-creative, and traditional teaching. The learning intervention was carried out within one month using a pre-validated instrument. The critical thinking data were analyzed descriptively based on the pre-test and post-test mean parameters and n-gain on critical thinking indicators, as well as individual critical thinking performance. Statistical analyses (paired-t test, ANOVA, and least significant difference test) were employed to provide confidence in the differences in critical thinking skills across the three learning treatments (p < 0.05). The prospective STEM teachers’ critical thinking skills showed varied performances among the three groups. The inquiry-creative group had the strongest impact, followed by inquiry and traditional teaching, all differing significantly. In summary, the findings suggest that current teaching practices in STEM education need to be reconsidered, showing the advantage of the inquiry-creative model in developing the critical thinking skills essential for future teachers and creators in the STEM fields. © 2024 by the authors."
"Game-Based Performance Tasks for Assessing Representational Flexibility of Autistic Adolescents in a Virtual World","Moon J.; Ke F.; Sokolikj Z.","2024","Technology, Knowledge and Learning","0","Article","EN","In this exploratory study, we designed and validated game-based performance tasks to assess the development of representational flexibility in autistic adolescents through virtual reality (VR)-based training. Representational flexibility, a critical cognitive ability, involves attention switching, generating representations, and recognizing patterns—skills essential for adaptive problem-solving and success in STEM education. Despite the increasing use of VR in educational interventions, limited research has explored dynamic, real-time assessment methods for representational flexibility, particularly for autistic learners. To address this gap, we conducted 71 VR-based training sessions with seven autistic adolescents, implementing a variety of game-based tasks targeting specific subsets of representational flexibility. Using both correlation and regression analyses, we evaluated the predictive validity of these tasks. Findings indicated significant relationships between task performance and representational flexibility subsets, with certain tasks demonstrating strong potential as proxies for dynamic cognitive assessments. The study highlights the viability of game-based performance tasks as an innovative approach to tracking cognitive development in immersive learning environments. Broadly, these findings contribute to advancing inclusive VR-based educational practices and assessment methodologies tailored to the unique needs of neurodiverse learners. © The Author(s), under exclusive licence to Springer Nature B.V. 2024."
"Enabling STE(A)M in Sustainability Education Through Dialogic/Dialectic Reconciliation","Schudel I.","2024","Educational Research for Social Change","0","Article","EN","In the context of a need for finding and enabling alternatives to unequal and extractivist perspectives on development, growth, and human well-being, this positioning paper explores possibilities for STEAM (science, technology, engineering, arts, and mathematics) education with an education for sustainable development focus that counters disciplinary alienations particularly between the arts and the STEM (science, technology, engineering and mathematics) disciplines. The paper argues that unnecessary alienations between cultural-emblematic and mathematical-logical epistemes, especially those linked to narrow interpretations and restricted developments in dialogism and dialectics, respectively, are influenced by restricted understandings of epistemological, ontological, and praxiological philosophical drivers in meaning making and responsive action. In response, the paper develops a series of philosophical principles that, it argues, could usefully underpin STEAM education practices. These are a) iterations of epistemological expansion and contraction (in response to monologic meaning making), b) an expansive and deepening ontology (in response to ontological collapse in describing the world), c) critical and judgmental rationality (finding a middle ground between radical relativism and dogma), and d) concrete utopianism (in response to idealism and additive holisticism). The emergence of the four philosophical principles is developed through illustrative examples of a broad range of arts (fine art, performance art, photography, film, poetry, prose, and music). © 2024 Ingrid Schudel."
"Immersive Virtual Labs for Enhancing In-Person and Online Education","Li Y.; Shen Y.; Sukenik C.I.","2024","ASEE Annual Conference and Exposition, Conference Proceedings","0","Conference paper","EN","Labs play a critical role in science and engineering education, offering practical insights and hands-on experience to students that cannot be achieved through theoretical learning alone. With the continuous advancement in technology, education is being reshaped and many universities are now offering online programs. This shift in educational paradigm offers students access to a wider range of academic resources, without being limited by geographical boundaries, time constraints, among others. However, the rise of online education also brings unique challenges, such as lack of face-to-face interaction and limited hands-on learning experiences. Virtual labs, which allow students to conduct experiments in a computer-simulated environment, can provide a viable and effective solution for online courses that require hands-on labs. Virtual Labs offer numerous advantages that can complement, and in some cases even replace, traditional in-person labs. Many educational institutions, including secondary schools and higher education institutions, face challenges in terms of establishing and maintaining traditional labs, such as high costs, space constraints, limited accessibility, among others. Virtual Labs, on the other hand, can simulate many of the experiences of a physical lab, allowing students to conduct experiments, gather data, and analyze results in a virtual environment. Virtual labs can be accessed from anywhere at any time. They can be used as pre-labs that can greatly shorten the time needed for the real physical lab or as post-labs if the student cannot complete the physical lab in the allotted time. Consequence of mistakes can be safely demonstrated in the virtual lab without exposing the student to real danger. Virtual labs can be especially useful for underrepresented groups that often do not have sufficient educational resources. This paper explores a wide range of issues in the rapid development of immersive virtual labs for engineering education, including different types of representations of the virtual environment, instrument and circuit simulation, user interface design, and integration of third-party libraries. Simulations of virtual environments often necessitate various types of representations, such as graphics models, physical models, and functional models, to optimize performance, fidelity, computational cost, and reusability. Utilization of multiple representations allows rapid development of virtual labs. For instance, the functional model of one oscilloscope can be easily adapted for another oscilloscope designed by a different manufacturer with minor modifications as oscilloscopes have similar functionalities while their visual appearance can vary. Advanced software development techniques such as object-oriented design and delegates are utilized to tackle the challenges in complex instrument and circuit simulation, such as the representation of continuous signals and discrete (digital) signals using the sampling theorem. This project makes use of the state-of-the-art design principles and techniques to create a user interface and virtual environment that are user friendly, efficient, and effective for learning. Integration of existing third-party software libraries is another crucial component in the rapid development of virtual labs. This project successfully integrated SPICE, a popular circuit simulator, as the backend of the virtual lab, greatly expediting the overall development. This paper will discuss the techniques for integration of third-party software to achieve interoperability between different software. While our current development focuses on the virtual labs for the course PHYS 303 offered at Old Dominion University (ODU), the proposed development techniques can be readily extended to other courses that utilize these common instruments, including courses offered by universities and high schools. A preliminary user study conducted with the first lab module in the course PHYS 303 demonstrated the effectiveness of the virtual lab. © American Society for Engineering Education, 2024."
"Enhancing STEAM Education with AR: A Primary Education Teacher Training Study","Guncaga J.; Korenova L.; Severini E.","2024","Proceedings of the European Conference on e-Learning, ECEL","0","Conference paper","EN","This research delves into the influence of Augmented Reality (AR) on Science, Technology, Engineering, Arts, and Mathematics (STEAM) education within the domain of primary school teacher training at the university level. The core aim is to augment digital literacy within the primary education framework through inquiry-based teaching methods. This investigation was organized among students enrolled in the Faculty of Education, Comenius University in Bratislava. The empirical research is devoted to the contribution of AR technologies to the enhancement of STEAM education and its implications for future primary education teachers. Utilizing a qualitative research methodology, the study facilitated small-group project work among students, complemented by focus groups and interviews to garner comprehensive insights into their experiences and perceptions. The findings of this study illuminate the significant role of AR applications for enriching STEAM education, manifesting in motivation of future teachers and the advancement of specific STEAM competencies. The results indicate the advantage of the integration of AR technologies in educational settings as a tool for supporting digital, technical, and artistic skills among students. The research results are possible to use in the innovation of teacher training primary education study program. An interdisciplinary approach towards STEAM education can help future teachers to navigate and to understand a technologically driven world effectively. Furthermore, the study offers actionable recommendations for practicing primary school educators on the implementation of AR-based pedagogical strategies to enrich the learning experience. By doing so, it aims to bridge the gap between traditional educational methodologies and the demands of contemporary digital literacy, ultimately fostering a more engaging and effective learning environment for future generations. The research results will be implemented into the STEAM oriented subjects into the primary school teacher training at the university level and in the lifelong learning of the in-service primary school teachers from educational practise. © 2024 Academic Conferences Limited. All rights reserved."
"Resources and Praxeologies Involved in Teachers’ Design of an Interdisciplinary STEAM Activity","Pocalana G.; Robutti O.; Ciartano E.","2024","Education Sciences","2","Article","EN","This study aimed to examine the collaborative design of an interdisciplinary STEAM activity conducted by lower-secondary school teachers of different disciplines. We adopted an approach based on a case study involving four teachers (art, music, technology, and mathematics/science teachers) designing an activity focused on the concept of symmetry. We gathered data through oral, semi-structured interviews with the teachers and through schematic representations of resource systems provided by the teachers themselves. Data analysis aimed to identify the different kinds of resources the teachers relied on, their utilization schemes, and the overarching meta-didactical praxeology adopted by the teachers for their collaborative design work. The theoretical model adopted for data analysis was a combination of the Documentational Approach to Didactics and the Meta-Didactical Transposition frameworks, originally introduced to study the work of researchers in the context of teacher professional development. An application of this model to the collaborative design work of teachers can provide a fresh insight into the relationship between teachers’ documentation work for the design of a STEAM activity, the practices that they adopt to address this shared task (praxis), and the shared justifying discourses (logos) for their praxis. © 2024 by the authors."
"Entrepreneurship and problem-based learning (PBL) in STEM teacher education in high schools: An everyday creativity perspective","Zhou C.; Frisdahl L.","2024","Entrepreneurship Innovation and Education for Performance Improvement","0","Book chapter","EN","In high schools, entrepreneurship has been paid much attention in STEM education. Creativity has been addressed as one of key dimensions in a complex pattern of entrepreneurship development. This chapter aims to answer two research questions: a) How can we understand creativity, entrepreneurship, and STEM education are interconnected in the context of high school education? and b) How can we employ Problem-Based Learning (PBL) to facilitate STEM teachers to improve the integration of entrepreneurship into daily teaching practice? Accordingly, a theoretical framework is addressed that a) underpins students' everyday creativity experience as the starting point to improve entrepreneurship in STEM education, and b) reflects the needs of implementation of creative pedagogies such as PBL. This leads to a design of a STEM teacher education program that helps to develop entrepreneurship in STEM education in high schools. Accordingly, this chapter contributes to the implications of preparing future entrepreneurs for facing complex challenges in professional practice and societies. © 2024, IGI Global. All rights reserved."
"Interdisciplinary Approaches in Engineering Education: Preparing Young Minds for Complex Challenges","Gebeshuber I.C.; Graves P.M.; Wardzinska I.; Mateus-Berr R.; Shanahan B.W.","2024","IFAC-PapersOnLine","0","Conference paper","EN","While interdisciplinary research in STEM (science, technology, engineering and mathematics), first introduced by bacteriologist R. Colwell, is a vital and exciting part of the dynamic landscape of contemporary research, the combination of the arts and the sciences, or STEAM (science, technology, engineering, arts and mathematics), is recognized as pedagogical innovations of the 21st century. The creative industries are considered as intellectual capital and are growing areas of the innovative economy (Melikuzievich, 2024). Bringing together artistic and scientific approaches is not only inspiring innovation, but combining efforts to address the complex challenges that define our time. Integrating artistic methods into research and teaching makes science more accessible by translating scientific concepts into relatable narratives or vivid visuals, resulting in reaching a more diverse audience. Bridging arts education and STEM education also encourages public engagement since it is more open for dialogue and evokes responsiveness and critical thinking (OECD, 2023). These outcomes align perfectly with UNESCO's ""The Global Education 2030 Agenda"", aiming for inclusive education and equity, which underlines the importance of these interdisciplinary approaches (UNESCO, 2019). In this paper even more advantages of combining the arts and the sciences are shown, ranging from increased resourcefulness to the creation of cutting-edge solutions. By spotlighting best practice examples in both teaching and research, it endeavours to provide a comprehensive exploration of the transformative potential that lies at the intersection of artistic expression and scientific inquiry. The goal is to underscore the many benefits and immense potential that STEAM initiatives hold for the advancement of knowledge, education and innovation. © 2024 Elsevier B.V.. All rights reserved."
"DPGame: Game-Based Learning for Dynamic Programming Algorithms","Zhu Y.","2025","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) ","0","Conference paper","EN","Dynamic programming is one of the most challenging topics in data structures and algorithms courses. Students often struggle to grasp dynamic programming techniques and apply them to solve problems. The common advice to students is to study lots of dynamic programming examples. However, analyzing source code is not an engaging experience for most students. This issue motivated us to design a game-based learning environment for dynamic programming. Although game-based methods have been used in computer science education, there have been no examples of games specifically designed to teach dynamic programming. In this paper, we introduce DPGame, a multi-level puzzle game that facilitates the learning process by guiding students through the construction of dynamic programming algorithms via increasingly challenging examples. In the game, the player’s goal is to construct a logical dependency diagram by answering a series of questions, similar to assembling a visual puzzle. This game can help students identify recurring logical patterns in dynamic programming and fosters a high-level understanding of the algorithm prior to tackling the low-level details of code implementation. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025."
"Unveiling the Impact of Teachers' Beliefs on Student Development in Rural STEM Education: Roles of Classroom Evaluation, STEM Literacy and Subject Type","Wang Y.; Chai F.; Liu Y.; Zhu J.; Jin J.","2024","ASEE Annual Conference and Exposition, Conference Proceedings","0","Conference paper","EN","The provision of high-caliber STEM education in rural areas is pivotal for the enduring progression and self-sufficiency of these communities. Within this educational framework, classroom evaluation practice is instrumental in cultivating student achievement and personal growth. This empirical study investigates how rural CHteachers' STEM literacy shapes their approach to assessing student performance, thereby impacting the effectiveness of pedagogical strategies. Utilizing self-reported data from online surveys, this study uncovers a robust positive linkage between the educators' beliefs pertaining to STEM and their evaluative techniques within the classroom setting. Specifically, instructors with strong convictions regarding STEM are more inclined to implement a variety of assessment methods, coupled with constructive evaluation principles, to bolster student learning outcomes. Furthermore, the study reveals that the STEM literacy of rural teachers serves as an intermediary between their teaching beliefs and evaluation approaches. In addition, the academic course subject instructed by these educators acts as a moderator in the relationship, underscoring the integration of humanities with STEM disciplines to achieve a balanced and comprehensive education. Highlighting the urgency of refining assessment practices and enhancing STEM literacy among rural educators, this study calls for future scholarly inquiries into the incorporation of liberal arts with STEM pedagogy. Such initiatives aim to elevate interdisciplinary teaching standards, tackle the unique challenges faced by rural regions, and promote the all-encompassing advancement of students in these areas, thereby propelling the progression of STEM education at large. © American Society for Engineering Education, 2024."
"Nanoart in STEAM education: Combining the microscopic and the creative","Suchikova Y.O.; Kovachov S.S.","2024","Journal of Physics: Conference Series","1","Conference paper","EN","This article explores the integration of Nanoart within the STEAM (Science, Technology, Engineering, Art, and Mathematics) education framework, highlighting its pivotal role in enhancing interdisciplinary learning. Through a detailed examination of a project-based learning (PBL) initiative, the study showcases students specializing in ""Applied Physics and Nanomaterials""engaging in creating nanostructures via electrochemical etching and their subsequent transformation into Nanoart. This educational endeavor exemplifies the seamless integration of STEAM components - combining scientific principles, technological application, engineering design, artistic creativity, and mathematical precision - and significantly deepens students' understanding of these elements. The article details each project phase, from conceptualization through execution, illustrating how students navigate the complexities of nanoscience and apply their interdisciplinary knowledge to produce tangible artistic and scientific outcomes. By transforming abstract scientific concepts into visually and intellectually stimulating Nanoart, the project encourages creative thinking and innovation among students. It further demonstrates how integrating art into STEM subjects can make scientific education more accessible and engaging, attracting a more comprehensive array of students and enriching their academic and practical experiences. Additionally, the study discusses the broader implications of Nanoart in STEAM education, emphasizing its effectiveness in bridging the gap between scientific exploration and artistic expression. It argues that this approach not only demystifies complex concepts but also fosters a holistic educational environment that prepares students to think critically and creatively across disciplines.  © Published under licence by IOP Publishing Ltd."
"Effects of small-scale chemistry STEM integrated with local contexts for enhancing grade 11 students’ learning achievement and learning and innovation skills","Utmeemang R.; Buaraphan K.","2024","Ecletica Quimica","0","Article","EN","This study aimed to; a) create the context-based small-scale chemistry STEM (CSSC-STEM) Model; and b) examine the effects of the CSSC-STEM model on students’ learning achievements and learning and innovation skills. The research methodology was Research and Development (R&D). In R1D1, 60 chemistry teachers and 136 students responded to reflect problems and needs about teaching and learning chemistry. In R2D2, 43 and 41 Grade 11 students were in an experiment and control groups, respectively. In R3D3, 40 and 36 students were in the experiment and control groups, respectively. The results showed that the experiment group had higher learning achievement in Rate of Chemical Reactions (t = 7.599, p < 0.05) than the control group. In addition, the experimental group had higher critical problem-solving skills (t = 20.968, p < 0.05) and creative thinking skills (t = 23.168, p < 0.05) than control group. The experiment group also gradually improved communication and teamwork skills throughout the model. The R3D3 results aligned with R2D2 showing the reliability of the CSSC-STEM model. © 2024 Atlantis Livros Ltda.. All rights reserved."
